pc4;woonplaatscode;woonplaatsnaam;gemeentecode;gemeentenaam;provinciecode;provincienaam;veiligheidsregio;politie-eenheid;omgevingsdienst;drinkwater;netbeheer
8539;2242;Echtenerbrug;1940;De Fryske Marren;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
4024;3374;Eck en Wiel;0214;Buren;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland;Vitens;Liander
6251;1693;Eckelrade;1903;Eijsden-Margraten;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg;WML;Enexis
6252;1693;Eckelrade;1903;Eijsden-Margraten;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg;WML;Enexis
1135;1747;Edam;0385;Edam-Volendam;27;Noord-Holland;Zaanstreek-Waterland;Noord-Holland;Omgevingsdienst IJmond;PWN;Liander
6711;2764;Ede;0228;Ede;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst De Vallei;Vitens;Liander
6712;2764;Ede;0228;Ede;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst De Vallei;Vitens;Liander
6713;2764;Ede;0228;Ede;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst De Vallei;Vitens;Liander
6714;2764;Ede;0228;Ede;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst De Vallei;Vitens;Liander
6715;2764;Ede;0228;Ede;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst De Vallei;Vitens;Liander
6716;2764;Ede;0228;Ede;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst De Vallei;Vitens;Liander
6717;2764;Ede;0228;Ede;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst De Vallei;Vitens;Liander
6718;2764;Ede;0228;Ede;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst De Vallei;Vitens;Liander
6745;2764;Ede;0228;Ede;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst De Vallei;Vitens;Liander
6744;2769;Ederveen;0228;Ede;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst De Vallei;Vitens;Liander
9131;3392;Ee;0058;Dongeradeel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
4529;2966;Eede;1714;Sluis;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland;Evides;Enduris
7211;1336;Eefde;0262;Lochem;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
9761;2909;Eelde;1730;Tynaarlo;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
9766;2911;Eelderwolde;1730;Tynaarlo;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;Groningen;Enexis
3754;2238;Eemdijk;0313;Bunschoten;26;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht;Vitens;Stedin
3755;1037;Eemnes;0317;Eemnes;26;Utrecht;Utrecht;Midden-Nederland;RUD Utrecht;Vitens;Stedin
9979;3473;Eemshaven;1651;Eemsmond;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen;;Enexis
9342;1634;Een;1699;Noordenveld;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
9967;3415;Eenrum;1663;De Marne;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen;Groningen;Enexis
9913;3444;Eenum;0024;Loppersum;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen;Groningen;Enexis
9343;1635;Een-West;1699;Noordenveld;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
6961;1114;Eerbeek;0213;Brummen;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Veluwe IJssel;Vitens;Liander
5521;2993;Eersel;0770;Eersel;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
9536;1790;Ees;1681;Borger-Odoorn;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
9537;1791;Eesergroen;1681;Borger-Odoorn;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
7858;1792;Eeserveen;1681;Borger-Odoorn;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
7859;1792;Eeserveen;1681;Borger-Odoorn;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
8534;2243;Eesterga;1940;De Fryske Marren;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
8347;2699;Eesveen;1708;Steenwijkerland;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland;Vitens;Enexis
4266;1953;Eethen;0738;Aalburg;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant;BrabantWater;Enexis
9463;1155;Eext;1680;Aa en Hunze;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
9658;1156;Eexterveen;1680;Aa en Hunze;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
9658;1157;Eexterveenschekanaal;1680;Aa en Hunze;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
9659;1157;Eexterveenschekanaal;1680;Aa en Hunze;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
9464;1158;Eexterzandvoort;1680;Aa en Hunze;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
5987;3439;Egchel;1894;Peel en Maas;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord;WML;Enexis
1931;3048;Egmond aan den Hoef;0373;Bergen (NH.);27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
1934;3048;Egmond aan den Hoef;0373;Bergen (NH.);27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
1931;3049;Egmond aan Zee;0373;Bergen (NH.);27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
1934;3050;Egmond-Binnen;0373;Bergen (NH.);27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
1935;3050;Egmond-Binnen;0373;Bergen (NH.);27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord;PWN;Liander
7151;1662;Eibergen;1859;Berkelland;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
7152;1662;Eibergen;1859;Berkelland;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
6245;1700;Eijsden;1903;Eijsden-Margraten;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg;WML;Enexis
5611;1101;Eindhoven;0772;Eindhoven;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
5612;1101;Eindhoven;0772;Eindhoven;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
5613;1101;Eindhoven;0772;Eindhoven;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
5614;1101;Eindhoven;0772;Eindhoven;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
5615;1101;Eindhoven;0772;Eindhoven;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
5616;1101;Eindhoven;0772;Eindhoven;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
5617;1101;Eindhoven;0772;Eindhoven;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
5621;1101;Eindhoven;0772;Eindhoven;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
5622;1101;Eindhoven;0772;Eindhoven;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
5623;1101;Eindhoven;0772;Eindhoven;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
5624;1101;Eindhoven;0772;Eindhoven;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
5625;1101;Eindhoven;0772;Eindhoven;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
5626;1101;Eindhoven;0772;Eindhoven;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
5627;1101;Eindhoven;0772;Eindhoven;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant;BrabantWater;Enexis
