wplcode;Woonplaatsnaam;gemcode;Gemeentenaam;Provinciecode;Provincienaam;Veiligheidsregio;Politie-eenheid;Omgevingsdienst
1457;Bergeijk;1724;Bergeijk;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant
3047;Bergen (NH);0373;Bergen (NH.);27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
3046;Bergen aan Zee;0373;Bergen (NH.);27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
1121;Bergen L;0893;Bergen (L.);31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
1937;Bergen op Zoom;0748;Bergen op Zoom;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant
1541;Bergentheim;0160;Hardenberg;23;Overijssel;IJsselland;Oost-Nederland;RUD IJsselland
2565;Bergharen;0296;Wijchen;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Regio Nijmegen
3250;Berghem;0828;Oss;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord
1688;Bergschenhoek;1621;Lansingerland;28;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;Milieudienst DCMR
3438;Beringe;1894;Peel en Maas;31;Limburg;Limburg-Noord;Limburg;RUD Limburg-Noord
1687;Berkel en Rodenrijs;1621;Lansingerland;28;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;Milieudienst DCMR
1044;Berkel-Enschot;0855;Tilburg;30;Noord-Brabant;Midden- en West-Brabant;Zeeland - West-Brabant;Omgevingsdienst Midden- en West-Brabant
2366;Berkenwoude;1931;Krimpenerwaard;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst Midden-Holland
1184;Berkhout;1598;Koggenland;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
2057;Berlicum;0845;Sint-Michielsgestel;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord
2724;Berltsum;1949;Waadhoeke;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
2627;Bern;0297;Zaltbommel;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland
1456;Best;0753;Best;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant
1214;Beugen;0756;Boxmeer;30;Noord-Brabant;Brabant-Noord;Oost-Brabant;Omgevingsdienst Brabant Noord
1711;Beuningen;0168;Losser;23;Overijssel;Twente;Oost-Nederland;RUD Twente
2751;Beuningen Gld;0209;Beuningen;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Regio Nijmegen
3371;Beusichem;0214;Buren;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland
1230;Beutenaken;1729;Gulpen-Wittem;31;Limburg;Zuid-Limburg;Limburg;RUD Zuid-Limburg
2735;Beverwijk;0375;Beverwijk;27;Noord-Holland;Kennemerland;Noord-Holland;Omgevingsdienst IJmond
2429;Biddinghuizen;0303;Dronten;24;Flevoland;Flevoland;Midden-Nederland;Omgevingsdienst Flevoland en Gooi & Vechtstreek
3232;Bierum;0010;Delfzijl;20;Groningen;Groningen;Noord-Nederland;Omgevingsdienst Groningen
2975;Biervliet;1714;Sluis;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland
